2011
2011,2,31,Acadie-Bathurst,"Gosselin,  Alexandre",http://lhjmq.qc.ca/prospects/2011/229853886,DD,6.00.5,163,1995-04-22,Levis Commandeurs,QC/QC,AAA
2011,2,32,Gatineau,"Soumakis,  Alexandros",http://lhjmq.qc.ca/prospects/2011/14056474,AG,5.05,180,1994-02-15,Lac St-Louis Lions,QC/QC,AAA
2011,2,33,P.E.I.,"Laplante,  Yan Pavel",http://lhjmq.qc.ca/prospects/2011/171608241,AG,5.11,165,1995-04-23,Chateauguay Grenadiers,QC/QC,AAA
2011,2,34,Shawinigan,"Taylor,  Zachary",http://lhjmq.qc.ca/prospects/2011/-205915922,DG,5.11,190,1995-02-01,Notre Dame Argos MAAA,NS/N-E,AAA
2011,2,35,Blainville-Boisbriand,"Berube,  Elie",http://lhjmq.qc.ca/prospects/2011/229853852,DG,5.09.5,181,1995-05-25,Notre-Dame Albatros,QC/QC,AAA
2011,2,36,Rouyn-Noranda,"Caron,  Félix",http://lhjmq.qc.ca/prospects/2011/229853862,C,5.09,154,1995-02-17,Laval-Montréal Rousseau Royal,QC/QC,AAA
2011,3,37,Rouyn-Noranda,"Dea,  Jean-Sebastien",http://lhjmq.qc.ca/prospects/2011/229830141,C,5.10,145,1994-02-08,Charles-Lemoyne Collège Les Riverains,QC/QC,AAA
2011,3,38,Gatineau,"Poirier,  Emile",http://lhjmq.qc.ca/prospects/2011/229834028,AD,6.00.5,169,1994-12-14,Laval-Montréal Rousseau Royal,QC/QC,AAA
2011,3,39,Cape Breton,"Guevremont,  Charles",http://lhjmq.qc.ca/prospects/2011/-38561874,C,5.11.5,166,1995-01-14,Lac St-Louis Grenadiers,QC/QC,Espoir
2011,3,40,Rimouski,"Gauthier,  Frederik",http://lhjmq.qc.ca/prospects/2011/149833825,C,6.04,201,1995-04-26,College Esther-Blondin,QC/QC,AAA
2011,3,41,Québec,"Duclair,  Anthony",http://lhjmq.qc.ca/prospects/2011/229853902,AD,5.10,155,1995-08-26,Lac St-Louis Lions,QC/QC,AAA
2011,3,42,Montréal,"Clapperton,  Christopher",http://lhjmq.qc.ca/prospects/2011/229807675,AG,5.08.5,153,1994-02-22,Notre-Dame Albatros,QC/QC,AAA
2011,3,43,Moncton,"Pitre,  Maxim",http://lhjmq.qc.ca/prospects/2011/70731133,AG,5.07.5,154,1995-02-26,Chateauguay Grenadiers,QC/QC,AAA
2011,3,44,Drummondville,"Verrier,  Jerome",http://lhjmq.qc.ca/prospects/2011/229833400,AD,5.09.5,161,1994-05-10,Magog Cantonniers,QC/QC,AAA
2011,3,45,Acadie-Bathurst,"Stevens,  Adam",http://lhjmq.qc.ca/prospects/2011/229776721,C,5.09.5,170,1994-08-12,Halifax Titans,NS/N-E,AAA
2011,3,46,Baie-Comeau,"Ranger,  Alexandre",http://lhjmq.qc.ca/prospects/2011/229853874,AD,5.08.5,152,1995-08-18,Chateauguay Grenadiers,QC/QC,AAA
2011,3,47,Moncton,"Centis-Jorge,  Alexander",http://lhjmq.qc.ca/prospects/2011/229853864,C,5.11,184,1995-02-24,Laval-Montréal Rousseau Royal,QC/QC,AAA
2011,3,48,P.E.I.,"Chenier,  Carl",http://lhjmq.qc.ca/prospects/2011/229853866,AD,6.02,163,1995-03-07,Lac St-Louis Tigres,QC/QC,Espoir
2011,3,49,Halifax,"Lovell,  Brian",http://lhjmq.qc.ca/prospects/2011/261919492,DD,6.01,167,1995-03-12,Lac St-Louis Patriotes,QC/QC,Espoir
